time,tag_id,sync,family,payload_version,payload,rssi
2025-05-27T17:41:40Z,A648A0E7,42452,1,0,A70B1509,-71
2025-05-27T17:41:41Z,23D9727E,17233,2,0,11064A0F,-58
2025-05-27T17:41:41Z,870614B1,5959,2,0,1B067607,-80
2025-05-27T17:41:41Z,81D187E3,5429,1,0,920BAC09,-77
2025-05-27T17:41:41Z,D7510A57,52081,1,0,BD07CB09,-75
2025-05-27T17:41:41Z,A648A0E7,25324,1,0,A60B3009,-67
2025-05-27T17:41:42Z,D7510A57,4846,1,0,BD07BB09,-75
2025-05-27T17:41:42Z,2172633A,62550,2,0,1D067E0D,-70
2025-05-27T17:41:43Z,D7510A57,46265,1,0,BC07C309,-69
2025-05-27T17:41:44Z,23D9727E,11109,2,0,1106430F,-52
2025-05-27T17:41:45Z,59FE8D30,20810,1,0,AA072409,-74
2025-05-27T17:41:45Z,E85FB74C,7888,2,0,F705460A,-82
2025-05-27T17:41:46Z,59FE8D30,32160,1,0,A9072609,-72
2025-05-27T17:41:46Z,B3DA9765,13269,1,0,F3063C0A,-77
2025-05-27T17:41:47Z,A648A0E7,13692,1,0,A60B2B09,-68
2025-05-27T17:41:47Z,0000006E,13808,1,0,99078909,-75
2025-05-27T17:41:47Z,13323C65,58304,1,0,A70BE508,-76
2025-05-27T17:41:47Z,D7510A57,29810,1,0,BE07CB09,-72
2025-05-27T17:41:48Z,81D187E3,8367,1,0,910BAC09,-77
2025-05-27T17:41:48Z,E197FE3E,12076,1,0,5607920B,-81
2025-05-27T17:41:48Z,77AAF9E2,32805,1,0,2007FA0A,-82
2025-05-27T17:41:49Z,59FE8D30,35437,1,0,AA072409,-74
2025-05-27T17:41:50Z,59FE8D30,56197,1,0,AA072609,-72
2025-05-27T17:41:50Z,23D9727E,13805,2,0,10062C0F,-58
2025-05-27T17:41:50Z,13323C65,5942,1,0,A70BE008,-73
2025-05-27T17:41:51Z,A648A0E7,29062,1,0,A60B2B09,-71
2025-05-27T17:41:51Z,D7510A57,49792,1,0,BC07BE09,-70
2025-05-27T17:41:52Z,2172633A,60989,2,0,1D06790D,-73
2025-05-27T17:41:53Z,D7510A57,46302,1,0,BC07CD09,-74
2025-05-27T17:41:53Z,13323C65,14273,1,0,A70BEC08,-76
2025-05-27T17:41:54Z,19836CFF,7879,1,0,A107D709,-79
2025-05-27T17:41:54Z,77AAF9E2,23599,1,0,1E07FA0A,-81
2025-05-27T17:41:55Z,367E0F4A,54514,1,0,8C0B9309,-76
2025-05-27T17:41:56Z,23D9727E,6893,2,0,10060E0F,-59
2025-05-27T17:41:56Z,D7510A57,42956,1,0,BC07D009,-70
2025-05-27T17:41:57Z,59FE8D30,5332,1,0,AA071509,-71
2025-05-27T17:41:57Z,A648A0E7,30484,1,0,A70B2909,-77
2025-05-27T17:41:57Z,B3DA9765,56165,1,0,F106490A,-82
2025-05-27T17:41:58Z,A648A0E7,24064,1,0,A60B3B09,-71
2025-05-27T17:41:58Z,D7510A57,44901,1,0,BD07C809,-69
2025-05-27T17:41:59Z,870614B1,777,2,0,1A065807,-75
2025-05-27T17:41:59Z,23D9727E,4418,2,0,11062C0F,-53
2025-05-27T17:42:00Z,59FE8D30,55905,1,0,AA072B09,-72
2025-05-27T17:42:00Z,A648A0E7,23805,1,0,A50B3D09,-75
2025-05-27T17:42:00Z,B78FE24A,33425,1,0,B2078D0A,-86
