time,tag_id,sync,family,payload_version,payload,rssi
2025-05-27T17:48:54Z,81D187E3,36999,1,0,910BA709,-82
2025-05-27T17:48:54Z,23D9727E,44639,2,0,1306200E,-59
2025-05-27T17:48:55Z,59FE8D30,28177,1,0,AA073D09,-72
2025-05-27T17:48:55Z,77AAF9E2,7694,1,0,2607EB0A,-82
2025-05-27T17:48:56Z,A648A0E7,14702,1,0,A70B1509,-75
2025-05-27T17:48:57Z,23D9727E,42889,2,0,1106390E,-56
2025-05-27T17:48:57Z,0000006E,29657,1,0,99078609,-73
2025-05-27T17:48:58Z,A648A0E7,49045,1,0,A60B1F09,-77
2025-05-27T17:48:59Z,870614B1,42705,2,0,1A066207,-80
2025-05-27T17:48:59Z,59FE8D30,63703,1,0,A9075109,-74
2025-05-27T17:49:00Z,D7510A57,56775,1,0,BE07C809,-72
2025-05-27T17:49:00Z,13323C65,1395,1,0,A70BE708,-71
2025-05-27T17:49:00Z,23D9727E,45616,2,0,12061B0E,-55
2025-05-27T17:49:00Z,A648A0E7,52355,1,0,A70B1C09,-76
2025-05-27T17:49:01Z,E197FE3E,30980,1,0,5C077B0B,-83
2025-05-27T17:49:01Z,D7510A57,61770,1,0,BE07C609,-72
2025-05-27T17:49:01Z,A648A0E7,48045,1,0,A70B0B09,-76
2025-05-27T17:49:02Z,D7510A57,46644,1,0,BE07C309,-76
2025-05-27T17:49:02Z,A648A0E7,8709,1,0,A70B0B09,-77
2025-05-27T17:49:03Z,59FE8D30,59205,1,0,AA073309,-78
2025-05-27T17:49:03Z,D7510A57,26170,1,0,BE07C109,-70
2025-05-27T17:49:04Z,59FE8D30,28598,1,0,A9074209,-77
2025-05-27T17:49:04Z,D7510A57,6826,1,0,BE07CB09,-76
2025-05-27T17:49:04Z,13323C65,61629,1,0,A70BDD08,-72
2025-05-27T17:49:04Z,2172633A,52008,2,0,1D06170C,-75
2025-05-27T17:49:05Z,D7510A57,50094,1,0,BE07B909,-70
2025-05-27T17:49:05Z,13323C65,9326,1,0,A60BD008,-73
2025-05-27T17:49:06Z,07F9389E,56326,2,0,0706FD09,-75
2025-05-27T17:49:06Z,23D9727E,36313,2,0,1206200E,-59
2025-05-27T17:49:07Z,367E0F4A,51430,1,0,8C0B9309,-79
2025-05-27T17:49:08Z,E2A807D7,58144,1,0,B4074C0A,-82
2025-05-27T17:49:08Z,13323C65,47003,1,0,A80BDB08,-72
2025-05-27T17:49:08Z,A648A0E7,21757,1,0,A70B2409,-77
2025-05-27T17:49:09Z,D7510A57,42550,1,0,BC07B109,-72
2025-05-27T17:49:10Z,A648A0E7,17389,1,0,A70B1709,-76
2025-05-27T17:49:10Z,23D9727E,38286,2,0,1206090E,-63
2025-05-27T17:49:10Z,D7510A57,39875,1,0,BB07B409,-77
2025-05-27T17:49:11Z,A648A0E7,37035,1,0,A70B0309,-76
2025-05-27T17:49:11Z,E197FE3E,50579,1,0,5C07780B,-83
2025-05-27T17:49:11Z,E2A807D7,6705,1,0,B5073A0A,-84
2025-05-27T17:49:11Z,07F9389E,31038,2,0,0706260A,-78
2025-05-27T17:49:11Z,D7510A57,22513,1,0,B807C609,-72
