time,tag_id,sync,family,payload_version,payload,rssi
2025-05-27T17:35:42Z,367E0F4A,52465,1,0,8D0B8B09,-71
2025-05-27T17:35:43Z,E197FE3E,40425,1,0,73079C0B,-81
2025-05-27T17:35:43Z,367E0F4A,10293,1,0,8C0B8909,-77
2025-05-27T17:35:43Z,B3DA9765,1403,1,0,0E07560A,-79
2025-05-27T17:35:43Z,23D9727E,29196,2,0,12060510,-62
2025-05-27T17:35:44Z,07F9389E,60972,2,0,0706F809,-78
2025-05-27T17:35:44Z,13323C65,10519,1,0,A80BDD08,-83
2025-05-27T17:35:44Z,367E0F4A,37187,1,0,8C0B7209,-77
2025-05-27T17:35:44Z,81D187E3,9596,1,0,920BB109,-81
2025-05-27T17:35:46Z,367E0F4A,13463,1,0,8B0B8409,-77
2025-05-27T17:35:46Z,23D9727E,28827,2,0,10060510,-64
2025-05-27T17:35:47Z,13323C65,29629,1,0,A70BCE08,-73
2025-05-27T17:35:48Z,13323C65,12264,1,0,A80BE708,-74
2025-05-27T17:35:48Z,07F9389E,25659,2,0,0706260A,-77
2025-05-27T17:35:49Z,23D9727E,26159,2,0,11061510,-66
2025-05-27T17:35:50Z,13323C65,1333,1,0,A80BE708,-73
2025-05-27T17:35:50Z,367E0F4A,42754,1,0,8B0B8B09,-74
2025-05-27T17:35:50Z,D7510A57,49061,1,0,D307DF09,-76
2025-05-27T17:35:50Z,59FE8D30,1330,1,0,C3072E09,-79
2025-05-27T17:35:51Z,367E0F4A,61177,1,0,8C0B7509,-73
2025-05-27T17:35:52Z,E197FE3E,47466,1,0,8607A60B,-82
2025-05-27T17:35:52Z,D7510A57,39632,1,0,D607D209,-76
2025-05-27T17:35:52Z,23D9727E,24790,2,0,10062E10,-62
2025-05-27T17:35:53Z,77AAF9E2,22518,1,0,5107F50A,-80
2025-05-27T17:35:53Z,2172633A,7722,2,0,1C06510D,-76
2025-05-27T17:35:53Z,59FE8D30,56417,1,0,C3073D09,-77
2025-05-27T17:35:54Z,81D187E3,37805,1,0,920BB109,-86
2025-05-27T17:35:54Z,D7510A57,48650,1,0,D407DC09,-76
2025-05-27T17:35:55Z,77AAF9E2,18117,1,0,5007FF0A,-82
2025-05-27T17:35:55Z,B3DA9765,46835,1,0,2107530A,-83
2025-05-27T17:35:56Z,23D9727E,27965,2,0,11062410,-64
2025-05-27T17:35:56Z,D7510A57,42141,1,0,D307DA09,-75
2025-05-27T17:35:57Z,0000006E,28121,1,0,AA07B109,-81
2025-05-27T17:35:57Z,A648A0E7,19333,1,0,A70B0D09,-78
2025-05-27T17:35:58Z,367E0F4A,60934,1,0,8B0B8409,-73
