time,tag_id,sync,family,payload_version,payload,rssi
2025-05-27T17:42:54Z,59FE8D30,45199,1,0,AA072109,-76
2025-05-27T17:42:54Z,D7510A57,41946,1,0,BD07C309,-76
2025-05-27T17:42:55Z,0000006E,32340,1,0,9A076B09,-73
2025-05-27T17:42:55Z,13323C65,51050,1,0,A70BCE08,-78
2025-05-27T17:42:56Z,59FE8D30,23597,1,0,AA071509,-74
2025-05-27T17:42:56Z,D7510A57,22477,1,0,BC07C109,-69
2025-05-27T17:42:57Z,A648A0E7,58058,1,0,A70B2409,-79
2025-05-27T17:42:57Z,13323C65,15886,1,0,A70BEA08,-76
2025-05-27T17:42:58Z,59FE8D30,30201,1,0,AB071A09,-74
2025-05-27T17:42:58Z,870614B1,61152,2,0,1B066407,-76
2025-05-27T17:42:58Z,D7510A57,40560,1,0,BC07C109,-68
2025-05-27T17:42:59Z,367E0F4A,55379,1,0,8B0B9B09,-72
2025-05-27T17:42:59Z,D7510A57,3139,1,0,BD07C109,-68
2025-05-27T17:43:00Z,13323C65,54161,1,0,A70BD808,-76
2025-05-27T17:43:00Z,23D9727E,27293,2,0,1006CC0E,-63
2025-05-27T17:43:01Z,D7510A57,30283,1,0,BE07D009,-75
2025-05-27T17:43:02Z,367E0F4A,25323,1,0,8C0B7509,-74
2025-05-27T17:43:02Z,D7510A57,42452,1,0,BD07D209,-75
2025-05-27T17:43:03Z,23D9727E,28088,2,0,1006C90E,-57
2025-05-27T17:43:03Z,D7510A57,26110,1,0,BD07B609,-70
2025-05-27T17:43:04Z,870614B1,50150,2,0,1B064E07,-76
2025-05-27T17:43:05Z,59FE8D30,12743,1,0,AA072E09,-75
2025-05-27T17:43:06Z,367E0F4A,55294,1,0,8C0B8109,-71
2025-05-27T17:43:06Z,23D9727E,29193,2,0,1006B80E,-62
2025-05-27T17:43:10Z,77AAF9E2,64934,1,0,2007E60A,-85
2025-05-27T17:43:10Z,59FE8D30,8586,1,0,AA072909,-76
2025-05-27T17:43:11Z,D7510A57,45528,1,0,BE07B909,-70
2025-05-27T17:43:12Z,367E0F4A,20850,1,0,8B0B8609,-75
2025-05-27T17:43:13Z,D7510A57,45796,1,0,BE07BB09,-74
2025-05-27T17:43:14Z,D7510A57,34316,1,0,BE07C609,-70
2025-05-27T17:43:15Z,59FE8D30,28292,1,0,AA073009,-75
2025-05-27T17:43:15Z,D7510A57,10523,1,0,BE07C609,-69
2025-05-27T17:43:16Z,59FE8D30,44155,1,0,A9073309,-78
2025-05-27T17:43:16Z,367E0F4A,56847,1,0,8B0B7A09,-76
2025-05-27T17:43:16Z,D7510A57,29941,1,0,BD07D709,-70
2025-05-27T17:43:17Z,367E0F4A,11795,1,0,8C0B8409,-72
2025-05-27T17:43:17Z,D7510A57,60058,1,0,BE07B609,-74
2025-05-27T17:43:18Z,367E0F4A,51994,1,0,8C0B8409,-74
2025-05-27T17:43:18Z,23D9727E,24293,2,0,1006BD0E,-60
2025-05-27T17:43:19Z,0000006E,7755,1,0,9B077C09,-76
2025-05-27T17:43:19Z,13323C65,54112,1,0,A70BEF08,-75
2025-05-27T17:43:21Z,D7510A57,38861,1,0,BD07D009,-71
2025-05-27T17:43:22Z,23D9727E,38696,2,0,0F06CC0E,-60
2025-05-27T17:43:22Z,0000006E,2122,1,0,9807A509,-73
2025-05-27T17:43:23Z,367E0F4A,47775,1,0,8D0B9009,-73
2025-05-27T17:43:24Z,59FE8D30,29182,1,0,A8072109,-76
2025-05-27T17:43:24Z,367E0F4A,54525,1,0,8D0B7C09,-72
2025-05-27T17:43:25Z,23D9727E,35679,2,0,1106C90E,-59
2025-05-27T17:43:26Z,A648A0E7,33458,1,0,A60B3B09,-80
2025-05-27T17:43:26Z,367E0F4A,42362,1,0,8C0B7509,-71
2025-05-27T17:43:28Z,23D9727E,35703,2,0,1106C40E,-61
2025-05-27T17:43:30Z,367E0F4A,6062,1,0,8C0B8609,-75
2025-05-27T17:43:31Z,59FE8D30,35200,1,0,A9071F09,-75
2025-05-27T17:43:31Z,367E0F4A,29038,1,0,8C0B8B09,-76
2025-05-27T17:43:32Z,13323C65,8942,1,0,A80BDD08,-76
2025-05-27T17:43:33Z,0000006E,22235,1,0,98078109,-75
2025-05-27T17:43:34Z,59FE8D30,31792,1,0,A8073809,-76
2025-05-27T17:43:34Z,23D9727E,42111,2,0,1106A40E,-62
2025-05-27T17:43:34Z,367E0F4A,54816,1,0,8D0B7F09,-75
2025-05-27T17:43:35Z,367E0F4A,4459,1,0,8C0B7F09,-75
2025-05-27T17:43:36Z,D7510A57,12943,1,0,BC07BE09,-75
2025-05-27T17:43:37Z,07F9389E,32791,2,0,0606210A,-81
2025-05-27T17:43:37Z,23D9727E,44977,2,0,1106B30E,-56
2025-05-27T17:43:38Z,59FE8D30,61150,1,0,A9072B09,-76
2025-05-27T17:43:38Z,A648A0E7,18424,1,0,A60B2B09,-80
2025-05-27T17:43:38Z,367E0F4A,7259,1,0,8C0B9309,-76
2025-05-27T17:43:38Z,D7510A57,37578,1,0,BB07D009,-70
2025-05-27T17:43:39Z,13323C65,44375,1,0,A70BE708,-77
2025-05-27T17:43:39Z,D7510A57,50613,1,0,BC07C309,-69
2025-05-27T17:43:40Z,367E0F4A,24704,1,0,8C0B9309,-76
2025-05-27T17:43:41Z,59FE8D30,9036,1,0,A7073309,-77
2025-05-27T17:43:41Z,13323C65,60689,1,0,A70BD808,-77
2025-05-27T17:43:43Z,59FE8D30,26792,1,0,A8072B09,-73
2025-05-27T17:43:43Z,23D9727E,53167,2,0,1206B00E,-62
2025-05-27T17:43:44Z,59FE8D30,24105,1,0,A7074209,-76
2025-05-27T17:43:45Z,D7510A57,39237,1,0,BC07BE09,-69
2025-05-27T17:43:45Z,0000006E,21374,1,0,98076D09,-73
2025-05-27T17:43:46Z,D7510A57,59174,1,0,BB07C309,-69
