tag_type,tag_id,time_utc,rssi,lat,lon,sync,family,payload,voltage,temp_c
bluetooth,13323C65,2025-05-27 19:17:05.273046Z,-65,39.001103,-74.914262,55068,1,0,2984,23.07
bluetooth,5504D31A,2025-05-27 19:17:05.321779Z,-79,39.001103,-74.914262,11603,2,0,1560,26.73
radio434mhz,071E6661,2025-05-27 19:17:05.323403Z,-98,39.001103,-74.914262
bluetooth,D7510A57,2025-05-27 19:17:05.468019Z,-66,39.001103,-74.914262,21676,1,0,1949,24.41
bluetooth,870614B1,2025-05-27 19:17:05.760570Z,-37,39.001103,-74.914262,20705,2,0,1559,20.09
bluetooth,E2A807D7,2025-05-27 19:17:05.809266Z,-82,39.001103,-74.914262,12535,1,0,1913,25.24
bluetooth,81D187E3,2025-05-27 19:17:06.053094Z,-72,39.001104,-74.914262,58176,1,0,2962,24.86
bluetooth,13323C65,2025-05-27 19:17:06.345537Z,-67,39.001104,-74.914262,29707,1,0,2984,23.04
bluetooth,D7510A57,2025-05-27 19:17:06.491878Z,-63,39.001104,-74.914262,35409,1,0,1949,24.43
bluetooth,2172633A,2025-05-27 19:17:06.637801Z,-71,39.001104,-74.914262,13329,2,0,1565,25.29
bluetooth,81D187E3,2025-05-27 19:17:07.029146Z,-78,39.001104,-74.914262,10570,1,0,2962,25.04
bluetooth,367E0F4A,2025-05-27 19:17:07.076782Z,-79,39.001107,-74.914265,16010,1,0,2956,24.79
bluetooth,59FE8D30,2025-05-27 19:17:07.417907Z,-59,39.001107,-74.914265,51176,1,0,1926,23.02
bluetooth,D7510A57,2025-05-27 19:17:07.564117Z,-63,39.001107,-74.914265,22252,1,0,1949,24.54
radio434mhz,614C192D,2025-05-27 19:17:07.565997Z,-105,39.001107,-74.914265
bluetooth,23D9727E,2025-05-27 19:17:07.856882Z,-32,39.001107,-74.914265,44595,2,0,1554,37.05
bluetooth,81D187E3,2025-05-27 19:17:08.051648Z,-75,39.001108,-74.914266,22701,1,0,2963,24.91
radio434mhz,1E336107,2025-05-27 19:17:08.148720Z,-65,39.001108,-74.914266
bluetooth,A648A0E7,2025-05-27 19:17:08.295588Z,-75,39.001108,-74.914266,53339,1,0,2983,23.63
bluetooth,0000006E,2025-05-27 19:17:08.344396Z,-68,39.001108,-74.914266,51962,1,0,1912,24.38
bluetooth,13323C65,2025-05-27 19:17:08.346442Z,-66,39.001108,-74.914266,15597,1,0,2984,22.87
radio434mhz,071E6661,2025-05-27 19:17:08.539518Z,-97,39.001108,-74.914266
bluetooth,E85FB74C,2025-05-27 19:17:08.685351Z,-85,39.001108,-74.914266,3986,2,0,1528,26.56
bluetooth,870614B1,2025-05-27 19:17:08.785738Z,-38,39.001108,-74.914266,10454,2,0,1558,20.06
bluetooth,81D187E3,2025-05-27 19:17:09.172978Z,-81,39.001109,-74.914267,17511,1,0,2962,25.19
bluetooth,A648A0E7,2025-05-27 19:17:09.271094Z,-79,39.001109,-74.914267,46368,1,0,2983,23.73
bluetooth,13323C65,2025-05-27 19:17:09.368106Z,-68,39.001109,-74.914267,62990,1,0,2983,23.09
bluetooth,D7510A57,2025-05-27 19:17:09.514307Z,-68,39.001109,-74.914267,17938,1,0,1949,24.59
userLocation,user,2025-05-27 19:17:10.026060Z,0,39.001109,-74.914268
bluetooth,59FE8D30,2025-05-27 19:17:10.440720Z,-73,39.001109,-74.914268,62276,1,0,1926,22.99
bluetooth,D7510A57,2025-05-27 19:17:10.537947Z,-66,39.001109,-74.914268,64243,1,0,1949,24.33
bluetooth,23D9727E,2025-05-27 19:17:10.928095Z,-33,39.001109,-74.914268,43098,2,0,1554,36.97
bluetooth,81D187E3,2025-05-27 19:17:11.075979Z,-82,39.001114,-74.914277,64736,1,0,2963,24.97
