Tag Type,Tag Id,Time (UTC),RSSI,Latitude,Longitude,beep_number,tagFamily,payloadType,solar_mV,temperature_C
bluetooth,13323C65,2025-05-27 20:02:56.166442Z,-81,39.001238,-74.914620,59733,1,0,2985,22.79
bluetooth,A648A0E7,2025-05-27 20:02:56.361760Z,-81,39.001238,-74.914620,25307,1,0,2983,23.35
bluetooth,870614B1,2025-05-27 20:02:56.556747Z,-63,39.001238,-74.914620,4025,2,0,1561,21.45
radio434mhz,071E6661,2025-05-27 20:02:56.653786Z,-100,39.001238,-74.914620
bluetooth,13323C65,2025-05-27 20:02:57.190280Z,-77,39.001238,-74.914619,29764,1,0,2983,22.92
bluetooth,367E0F4A,2025-05-27 20:02:57.385470Z,-84,39.001238,-74.914619,50218,1,0,2956,24.46
bluetooth,77AAF9E2,2025-05-27 20:02:57.387130Z,-85,39.001238,-74.914619,62351,1,0,1616,25.70
bluetooth,A648A0E7,2025-05-27 20:02:57.387418Z,-78,39.001238,-74.914619,26354,1,0,2983,22.97
radio434mhz,1E336107,2025-05-27 20:02:57.923059Z,-71,39.001238,-74.914619
bluetooth,A648A0E7,2025-05-27 20:02:58.409394Z,-79,39.001238,-74.914618,21478,1,0,2983,23.35
bluetooth,D7510A57,2025-05-27 20:02:59.091302Z,-81,39.001237,-74.914617,37276,1,0,1905,23.68
bluetooth,367E0F4A,2025-05-27 20:02:59.432935Z,-84,39.001237,-74.914617,54094,1,0,2955,24.54
bluetooth,23D9727E,2025-05-27 20:02:59.676674Z,-44,39.001237,-74.914617,8778,2,0,1553,33.46
radio434mhz,071E6661,2025-05-27 20:02:59.822450Z,-101,39.001237,-74.914617
userLocation,user,2025-05-27 20:03:00.028002Z,0,39.001019,-74.914124
bluetooth,13323C65,2025-05-27 20:03:00.261779Z,-76,39.001019,-74.914124,52152,1,0,2983,22.92
bluetooth,367E0F4A,2025-05-27 20:03:00.457249Z,-83,39.001019,-74.914124,25152,1,0,2956,24.51
bluetooth,D7510A57,2025-05-27 20:03:01.141099Z,-80,39.001034,-74.913752,48344,1,0,1905,23.58
bluetooth,13323C65,2025-05-27 20:03:01.236401Z,-76,39.001034,-74.913752,2035,1,0,2983,23.35
bluetooth,367E0F4A,2025-05-27 20:03:01.480360Z,-82,39.001034,-74.913752,2861,1,0,2956,24.51
bluetooth,A648A0E7,2025-05-27 20:03:01.481389Z,-78,39.001034,-74.913752,12966,1,0,2983,23.47
bluetooth,59FE8D30,2025-05-27 20:03:02.260421Z,-83,39.001034,-74.913752,22873,1,0,1876,22.54
bluetooth,870614B1,2025-05-27 20:03:02.601686Z,-64,39.001034,-74.913752,62749,2,0,1561,21.50
radio434mhz,071E6661,2025-05-27 20:03:02.991415Z,-100,39.001034,-74.913752
radio434mhz,1E336107,2025-05-27 20:03:03.137714Z,-72,39.001034,-74.913752
bluetooth,13323C65,2025-05-27 20:03:03.382294Z,-79,39.001034,-74.913752,1259,1,0,2983,23.04
bluetooth,367E0F4A,2025-05-27 20:03:03.479201Z,-79,39.001034,-74.913752,4182,1,0,2956,24.56
bluetooth,367E0F4A,2025-05-27 20:03:04.502769Z,-76,39.001034,-74.913752,47131,1,0,2956,24.31
bluetooth,59FE8D30,2025-05-27 20:03:05.284512Z,-82,39.001034,-74.913752,4472,1,0,1876,22.41
bluetooth,A648A0E7,2025-05-27 20:03:05.526689Z,-82,39.001034,-74.913752,4844,1,0,2984,23.35
bluetooth,870614B1,2025-05-27 20:03:05.624203Z,-61,39.001034,-74.913752,5383,2,0,1561,21.40
bluetooth,23D9727E,2025-05-27 20:03:05.770357Z,-46,39.001034,-74.913752,12487,2,0,1552,33.48
radio434mhz,071E6661,2025-05-27 20:03:06.160174Z,-101,39.001034,-74.913752
bluetooth,D7510A57,2025-05-27 20:03:06.209218Z,-81,39.001034,-74.913752,38213,1,0,1906,23.63
