tag_type,tag_id,time_utc,rssi,lat,lon,sync,family,payload,voltage,temp_c
bluetooth,D7510A57,2025-05-27 19:38:16.054150Z,-68,39.001054,-74.914302,26496,1,0,1900,23.95
bluetooth,13323C65,2025-05-27 19:38:16.492883Z,-72,39.001054,-74.914302,17856,1,0,2984,22.82
bluetooth,E2A807D7,2025-05-27 19:38:16.541959Z,-83,39.001054,-74.914302,63556,1,0,1860,24.16
bluetooth,367E0F4A,2025-05-27 19:38:16.639364Z,-70,39.001054,-74.914302,4836,1,0,2956,24.46
radio434mhz,334C4B61,2025-05-27 19:38:16.736614Z,-107,39.001054,-74.914302
bluetooth,81D187E3,2025-05-27 19:38:16.883184Z,-76,39.001054,-74.914302,43544,1,0,2961,24.81
bluetooth,D7510A57,2025-05-27 19:38:17.029308Z,-73,39.001054,-74.914302,2102,1,0,1899,24.06
bluetooth,13323C65,2025-05-27 19:38:17.517327Z,-75,39.001054,-74.914302,2984,1,0,2983,22.97
bluetooth,0000006E,2025-05-27 19:38:17.566219Z,-65,39.001054,-74.914302,9564,1,0,1868,23.68
radio434mhz,071E6661,2025-05-27 19:38:17.858515Z,-96,39.001054,-74.914302
bluetooth,870614B1,2025-05-27 19:38:17.860133Z,-38,39.001054,-74.914302,3757,2,0,1559,17.71
bluetooth,A648A0E7,2025-05-27 19:38:18.053630Z,-76,39.001054,-74.914302,53137,1,0,2984,23.20
bluetooth,D7510A57,2025-05-27 19:38:18.102288Z,-68,39.001054,-74.914302,40489,1,0,1899,23.90
bluetooth,77AAF9E2,2025-05-27 19:38:18.396122Z,-85,39.001054,-74.914302,54763,1,0,1615,25.88
bluetooth,367E0F4A,2025-05-27 19:38:18.687050Z,-69,39.001054,-74.914302,37374,1,0,2956,24.33
bluetooth,59FE8D30,2025-05-27 19:38:18.735863Z,-67,39.001054,-74.914302,630,1,0,1867,22.49
bluetooth,B78FE24A,2025-05-27 19:38:18.737044Z,-81,39.001054,-74.914302,63094,1,0,1821,24.81
bluetooth,E85FB74C,2025-05-27 19:38:18.784849Z,-78,39.001054,-74.914302,28687,2,0,1528,26.08
bluetooth,81D187E3,2025-05-27 19:38:18.930779Z,-77,39.001054,-74.914302,933,1,0,2962,24.84
bluetooth,D7510A57,2025-05-27 19:38:19.079203Z,-76,39.001043,-74.914302,657,1,0,1899,23.93
bluetooth,77AAF9E2,2025-05-27 19:38:19.321127Z,-80,39.001043,-74.914302,8455,1,0,1615,25.85
