Tag Type,Tag Id,Time (UTC),RSSI,Latitude,Longitude,beep_number,tagFamily,payloadType,solar_mV,temperature_C
bluetooth,870614B1,2025-05-27 19:41:41.879039Z,-60,39.001031,-74.914294,44302,2,0,1556,18.04
bluetooth,59FE8D30,2025-05-27 19:41:41.880930Z,-72,39.001031,-74.914294,6069,1,0,1868,22.54
bluetooth,E85FB74C,2025-05-27 19:41:42.172246Z,-81,39.001030,-74.914290,43382,2,0,1526,25.95
bluetooth,13323C65,2025-05-27 19:41:42.172785Z,-76,39.001030,-74.914290,37909,1,0,2984,22.84
bluetooth,367E0F4A,2025-05-27 19:41:42.854592Z,-76,39.001030,-74.914290,36,1,0,2956,24.41
bluetooth,A648A0E7,2025-05-27 19:41:42.951618Z,-77,39.001030,-74.914290,21150,1,0,2982,23.22
bluetooth,13323C65,2025-05-27 19:41:43.195132Z,-77,39.001032,-74.914292,933,1,0,2984,22.74
bluetooth,77AAF9E2,2025-05-27 19:41:43.488366Z,-80,39.001032,-74.914292,61155,1,0,1616,25.82
radio434mhz,614C192D,2025-05-27 19:41:43.585091Z,-106,39.001032,-74.914292
bluetooth,0000006E,2025-05-27 19:41:43.634612Z,-64,39.001032,-74.914292,46554,1,0,1869,23.60
bluetooth,23D9727E,2025-05-27 19:41:43.829081Z,-37,39.001032,-74.914292,10948,2,0,1554,32.57
bluetooth,A648A0E7,2025-05-27 19:41:43.975238Z,-80,39.001032,-74.914292,58455,1,0,2984,23.30
bluetooth,3F9E3319,2025-05-27 19:41:44.170346Z,-87,39.001036,-74.914296,65152,1,0,1604,26.78
bluetooth,D7510A57,2025-05-27 19:41:44.219419Z,-67,39.001036,-74.914296,55822,1,0,1900,23.83
radio434mhz,071E6661,2025-05-27 19:41:44.609449Z,-107,39.001036,-74.914296
bluetooth,367E0F4A,2025-05-27 19:41:44.902399Z,-72,39.001036,-74.914296,16628,1,0,2957,24.38
bluetooth,870614B1,2025-05-27 19:41:44.904717Z,-55,39.001036,-74.914296,32181,2,0,1556,18.57
radio434mhz,1E336107,2025-05-27 19:41:44.998800Z,-82,39.001036,-74.914296
bluetooth,A648A0E7,2025-05-27 19:41:45.004776Z,-82,39.001036,-74.914296,16442,1,0,2982,23.25
bluetooth,367E0F4A,2025-05-27 19:41:45.877419Z,-74,39.001039,-74.914307,16826,1,0,2955,24.46
bluetooth,59FE8D30,2025-05-27 19:41:45.879279Z,-72,39.001039,-74.914307,47693,1,0,1867,22.64
bluetooth,2172633A,2025-05-27 19:41:45.925003Z,-66,39.001039,-74.914307,24042,2,0,1563,22.41
bluetooth,0000006E,2025-05-27 19:41:46.656787Z,-65,39.001039,-74.914307,11862,1,0,1869,23.50
bluetooth,B78FE24A,2025-05-27 19:41:46.851946Z,-78,39.001039,-74.914307,52026,1,0,1834,24.94
bluetooth,367E0F4A,2025-05-27 19:41:46.900785Z,-81,39.001039,-74.914307,27217,1,0,2956,24.31
bluetooth,59FE8D30,2025-05-27 19:41:46.901315Z,-83,39.001039,-74.914307,740,1,0,1869,22.56
bluetooth,E85FB74C,2025-05-27 19:41:47.144198Z,-81,39.001041,-74.914315,62389,2,0,1527,25.62
bluetooth,13323C65,2025-05-27 19:41:47.241714Z,-75,39.001041,-74.914315,19134,1,0,2985,22.84
bluetooth,81D187E3,2025-05-27 19:41:47.485836Z,-79,39.001041,-74.914315,29062,1,0,2961,24.79
radio434mhz,071E6661,2025-05-27 19:41:47.782908Z,-98,39.001041,-74.914315
bluetooth,367E0F4A,2025-05-27 19:41:47.878236Z,-77,39.001041,-74.914315,17623,1,0,2956,24.28
bluetooth,3F9E3319,2025-05-27 19:41:48.023568Z,-78,39.001041,-74.914315,35322,1,0,1603,26.84
bluetooth,D7510A57,2025-05-27 19:41:48.168126Z,-64,39.001046,-74.914339,56253,1,0,1899,23.88
bluetooth,59FE8D30,2025-05-27 19:41:48.850342Z,-68,39.001046,-74.914339,4914,1,0,1868,22.46
bluetooth,B78FE24A,2025-05-27 19:41:48.948076Z,-86,39.001046,-74.914339,28712,1,0,1836,24.99
bluetooth,367E0F4A,2025-05-27 19:41:48.949624Z,-73,39.001046,-74.914339,12885,1,0,2956,24.31
bluetooth,19836CFF,2025-05-27 19:41:48.949934Z,-80,39.001046,-74.914339,12766,1,0,1849,23.15
bluetooth,E197FE3E,2025-05-27 19:41:49.048156Z,-82,39.001055,-74.914371,14978,1,0,1617,27.34
bluetooth,59FE8D30,2025-05-27 19:41:49.874780Z,-69,39.001055,-74.914371,9911,1,0,1868,22.54
userLocation,user,2025-05-27 19:41:50.030619Z,0,39.001067,-74.914403
radio434mhz,1E336107,2025-05-27 19:41:50.264639Z,-85,39.001067,-74.914403
