Tag Type,Tag Id,Time (UTC),RSSI,Latitude,Longitude,beep_number,tagFamily,payloadType,solar_mV,temperature_C
bluetooth,59FE8D30,2025-05-27 19:43:58.917009Z,-73,39.001014,-74.914386,55939,1,0,1870,22.67
bluetooth,D7510A57,2025-05-27 19:43:59.112018Z,-75,39.001018,-74.914387,8325,1,0,1902,23.83
bluetooth,367E0F4A,2025-05-27 19:43:59.550913Z,-75,39.001018,-74.914387,64313,1,0,2956,24.54
bluetooth,A648A0E7,2025-05-27 19:43:59.745915Z,-76,39.001018,-74.914387,28208,1,0,2983,23.30
bluetooth,81D187E3,2025-05-27 19:43:59.941133Z,-80,39.001018,-74.914387,53786,1,0,2961,24.84
bluetooth,E197FE3E,2025-05-27 19:43:59.942077Z,-83,39.001018,-74.914387,17285,1,0,1619,27.24
userLocation,user,2025-05-27 19:44:00.030422Z,0,39.001020,-74.914386
bluetooth,E2A807D7,2025-05-27 19:44:00.186109Z,-81,39.001020,-74.914386,58362,1,0,1869,24.21
bluetooth,870614B1,2025-05-27 19:44:00.428465Z,-54,39.001020,-74.914386,19854,2,0,1554,19.66
bluetooth,367E0F4A,2025-05-27 19:44:00.574608Z,-81,39.001020,-74.914386,21221,1,0,2956,24.43
bluetooth,3F9E3319,2025-05-27 19:44:00.720861Z,-79,39.001020,-74.914386,10803,1,0,1606,26.63
bluetooth,A648A0E7,2025-05-27 19:44:00.769494Z,-80,39.001020,-74.914386,13532,1,0,2982,23.37
bluetooth,23D9727E,2025-05-27 19:44:00.866933Z,-40,39.001020,-74.914386,13303,2,0,1554,32.29
bluetooth,B78FE24A,2025-05-27 19:44:00.915998Z,-82,39.001020,-74.914386,4782,1,0,1835,24.71
bluetooth,D7510A57,2025-05-27 19:44:01.207900Z,-69,39.001025,-74.914387,10831,1,0,1902,23.70
radio434mhz,071E6661,2025-05-27 19:44:01.402521Z,-110,39.001025,-74.914387
bluetooth,3F9E3319,2025-05-27 19:44:01.548977Z,-81,39.001025,-74.914387,16131,1,0,1603,26.86
bluetooth,13323C65,2025-05-27 19:44:01.597996Z,-82,39.001025,-74.914387,40350,1,0,2983,22.82
bluetooth,D7510A57,2025-05-27 19:44:02.182441Z,-73,39.001031,-74.914393,16284,1,0,1902,23.70
bluetooth,E2A807D7,2025-05-27 19:44:02.232203Z,-79,39.001031,-74.914393,23785,1,0,1870,23.90
bluetooth,77AAF9E2,2025-05-27 19:44:02.329070Z,-82,39.001031,-74.914393,46286,1,0,1616,25.82
bluetooth,E197FE3E,2025-05-27 19:44:02.475690Z,-79,39.001031,-74.914393,56386,1,0,1619,27.29
bluetooth,367E0F4A,2025-05-27 19:44:02.622206Z,-75,39.001031,-74.914393,23097,1,0,2956,24.33
bluetooth,A648A0E7,2025-05-27 19:44:02.816980Z,-77,39.001031,-74.914393,38466,1,0,2983,23.17
bluetooth,B78FE24A,2025-05-27 19:44:02.914719Z,-82,39.001031,-74.914393,36194,1,0,1834,24.97
bluetooth,E2A807D7,2025-05-27 19:44:03.206936Z,-85,39.001038,-74.914404,7150,1,0,1867,24.21
bluetooth,E197FE3E,2025-05-27 19:44:03.304675Z,-79,39.001038,-74.914404,25756,1,0,1618,27.19
radio434mhz,1E336107,2025-05-27 19:44:03.352446Z,-66,39.001038,-74.914404
bluetooth,3F9E3319,2025-05-27 19:44:03.840910Z,-83,39.001038,-74.914404,64928,1,0,1604,26.73
bluetooth,B78FE24A,2025-05-27 19:44:03.938583Z,-74,39.001038,-74.914404,23274,1,0,1835,24.84
bluetooth,81D187E3,2025-05-27 19:44:03.939714Z,-83,39.001038,-74.914404,33791,1,0,2962,24.79
bluetooth,2172633A,2025-05-27 19:44:04.038691Z,-71,39.001043,-74.914414,14660,2,0,1562,22.13
bluetooth,D7510A57,2025-05-27 19:44:04.133542Z,-70,39.001043,-74.914414,19699,1,0,1902,23.73
bluetooth,E2A807D7,2025-05-27 19:44:04.182376Z,-86,39.001043,-74.914414,29094,1,0,1869,24.03
