UsbPort,BluRadioId,RadioId,Time,TagRSSI,TagId,Sync,Product,Revision,NodeId,Payload
,,1,2025-05-27 19:10:00,-79,23D9727E,13819,,,CB4A1EAE,
,,4,2025-05-27 19:10:00,-79,23D9727E,13819,,,CB4A1EAE,
,,4,2025-05-27 19:10:15,-64,870614B1,11082,,,CB4A1EAE,
,,1,2025-05-27 19:10:15,-64,870614B1,11082,,,CB4A1EAE,
,,5,2025-05-27 19:10:13,-65,367E0F4A,50754,,,AA4358FB,
,,1,2025-05-27 19:10:14,-75,3F9E3319,39039,,,AA4358FB,
,,5,2025-05-27 19:10:14,-75,3F9E3319,39039,,,AA4358FB,
,,4,2025-05-27 19:10:14,-75,3F9E3319,39039,,,AA4358FB,
,,5,2025-05-27 19:10:15,-65,367E0F4A,35614,,,AA4358FB,
,,4,2025-05-27 19:10:15,-65,367E0F4A,35614,,,AA4358FB,
,,1,2025-05-27 19:10:15,-65,367E0F4A,35614,,,AA4358FB,
,,5,2025-05-27 19:10:15,-75,59FE8D30,62838,,,AA4358FB,
,,1,2025-05-27 19:10:15,-82,B78FE24A,20664,,,AA4358FB,
,,5,2025-05-27 19:10:16,-77,D7510A57,14552,,,AA4358FB,
,,5,2025-05-27 19:10:16,-75,3F9E3319,37401,,,AA4358FB,
,,5,2025-05-27 19:10:17,-76,13323C65,28622,,,AA4358FB,
,,1,2025-05-27 19:10:17,-76,13323C65,28622,,,AA4358FB,
,,5,2025-05-27 19:10:18,-71,0000006E,27119,,,AA4358FB,
,,1,2025-05-27 19:10:18,-74,59FE8D30,63077,,,AA4358FB,
,,5,2025-05-27 19:10:21,-77,B3DA9765,43721,,,AA4358FB,
,,3,2025-05-27 19:10:07,-77,367E0F4A,40542,,,520A3C5C,
,,4,2025-05-27 19:10:07,-77,367E0F4A,40542,,,520A3C5C,
,,2,2025-05-27 19:10:07,-77,367E0F4A,40542,,,520A3C5C,
,,5,2025-05-27 19:10:07,-77,367E0F4A,40542,,,520A3C5C,
,,2,2025-05-27 19:10:07,-78,13323C65,46385,,,520A3C5C,
,,5,2025-05-27 19:10:07,-78,13323C65,46385,,,520A3C5C,
,,1,2025-05-27 19:10:07,-78,13323C65,46385,,,520A3C5C,
,,3,2025-05-27 19:10:07,-78,13323C65,46385,,,520A3C5C,
,,4,2025-05-27 19:10:07,-78,13323C65,46385,,,520A3C5C,
,,5,2025-05-27 19:10:08,-75,D7510A57,59609,,,520A3C5C,
,,3,2025-05-27 19:10:08,-75,D7510A57,59609,,,520A3C5C,
,,1,2025-05-27 19:10:08,-75,D7510A57,59609,,,520A3C5C,
,,4,2025-05-27 19:10:08,-75,D7510A57,59609,,,520A3C5C,
,,2,2025-05-27 19:10:08,-75,D7510A57,59609,,,520A3C5C,
,,4,2025-05-27 19:10:08,-78,13323C65,38596,,,520A3C5C,
,,5,2025-05-27 19:10:08,-78,13323C65,38596,,,520A3C5C,
,,2,2025-05-27 19:10:08,-78,13323C65,38596,,,520A3C5C,
,,3,2025-05-27 19:10:08,-78,13323C65,38596,,,520A3C5C,
,,3,2025-05-27 19:10:09,-67,A648A0E7,14869,,,520A3C5C,
,,2,2025-05-27 19:10:09,-67,A648A0E7,14869,,,520A3C5C,
,,4,2025-05-27 19:10:09,-67,A648A0E7,14869,,,520A3C5C,
,,5,2025-05-27 19:10:09,-67,A648A0E7,14869,,,520A3C5C,
,,2,2025-05-27 19:10:09,-52,23D9727E,6941,,,520A3C5C,
,,5,2025-05-27 19:10:09,-52,23D9727E,6941,,,520A3C5C,
,,4,2025-05-27 19:10:09,-52,23D9727E,6941,,,520A3C5C,
,,3,2025-05-27 19:10:09,-52,23D9727E,6941,,,520A3C5C,
,,5,2025-05-27 19:10:09,-55,870614B1,1530,,,520A3C5C,
,,4,2025-05-27 19:10:09,-55,870614B1,1530,,,520A3C5C,
,,3,2025-05-27 19:10:09,-55,870614B1,1530,,,520A3C5C,
,,2,2025-05-27 19:10:09,-55,870614B1,1530,,,520A3C5C,
,,3,2025-05-27 19:10:09,-81,B3DA9765,12491,,,520A3C5C,
,,2,2025-05-27 19:10:09,-81,B3DA9765,12491,,,520A3C5C,
,,2,2025-05-27 19:10:10,-71,A648A0E7,8076,,,520A3C5C,
,,5,2025-05-27 19:10:10,-71,A648A0E7,8076,,,520A3C5C,
,,3,2025-05-27 19:10:10,-71,A648A0E7,8076,,,520A3C5C,
,,4,2025-05-27 19:10:10,-71,A648A0E7,8076,,,520A3C5C,
,,3,2025-05-27 19:10:11,-62,2172633A,43795,,,520A3C5C,
,,4,2025-05-27 19:10:11,-62,2172633A,43795,,,520A3C5C,
,,5,2025-05-27 19:10:11,-62,2172633A,43795,,,520A3C5C,
,,2,2025-05-27 19:10:11,-62,2172633A,43795,,,520A3C5C,
,,4,2025-05-27 19:10:11,-76,13323C65,11592,,,520A3C5C,
,,3,2025-05-27 19:10:12,-77,B3DA9765,12021,,,520A3C5C,
,,5,2025-05-27 19:10:12,-77,B3DA9765,12021,,,520A3C5C,
,,4,2025-05-27 19:10:12,-77,B3DA9765,12021,,,520A3C5C,
,,2,2025-05-27 19:10:12,-77,B3DA9765,12021,,,520A3C5C,
,,2,2025-05-27 19:10:12,-51,23D9727E,7656,,,520A3C5C,
,,3,2025-05-27 19:10:12,-51,23D9727E,7656,,,520A3C5C,
,,3,2025-05-27 19:10:12,-78,E2A807D7,63927,,,520A3C5C,
,,2,2025-05-27 19:10:12,-78,E2A807D7,63927,,,520A3C5C,
,,4,2025-05-27 19:10:12,-78,E2A807D7,63927,,,520A3C5C,
,,5,2025-05-27 19:10:12,-78,E2A807D7,63927,,,520A3C5C,
,,3,2025-05-27 19:10:12,-58,870614B1,14720,,,520A3C5C,
,,2,2025-05-27 19:10:12,-58,870614B1,14720,,,520A3C5C,
,,3,2025-05-27 19:10:13,-76,13323C65,28858,,,520A3C5C,
,,2,2025-05-27 19:10:13,-76,13323C65,28858,,,520A3C5C,
,,5,2025-05-27 19:10:13,-76,13323C65,28858,,,520A3C5C,
,,4,2025-05-27 19:10:13,-76,13323C65,28858,,,520A3C5C,
,,4,2025-05-27 19:10:13,-80,B3DA9765,4507,,,520A3C5C,
,,3,2025-05-27 19:10:13,-80,B3DA9765,4507,,,520A3C5C,
,,2,2025-05-27 19:10:13,-80,B3DA9765,4507,,,520A3C5C,
,,5,2025-05-27 19:10:13,-80,B3DA9765,4507,,,520A3C5C,
,,3,2025-05-27 19:10:13,-80,19836CFF,16229,,,520A3C5C,
,,2,2025-05-27 19:10:13,-80,19836CFF,16229,,,520A3C5C,
,,5,2025-05-27 19:10:13,-80,19836CFF,16229,,,520A3C5C,
,,4,2025-05-27 19:10:13,-80,19836CFF,16229,,,520A3C5C,
,,5,2025-05-27 19:10:13,-77,A648A0E7,34864,,,520A3C5C,
,,3,2025-05-27 19:10:13,-77,A648A0E7,34864,,,520A3C5C,
,,2,2025-05-27 19:10:13,-77,A648A0E7,34864,,,520A3C5C,
,,3,2025-05-27 19:10:13,-68,D7510A57,59787,,,520A3C5C,
,,2,2025-05-27 19:10:13,-68,D7510A57,59787,,,520A3C5C,
,,4,2025-05-27 19:10:13,-68,D7510A57,59787,,,520A3C5C,
,,2,2025-05-27 19:10:13,-83,3F9E3319,6061,,,520A3C5C,
,,2,2025-05-27 19:10:13,-79,81D187E3,62861,,,520A3C5C,
,,5,2025-05-27 19:10:13,-79,81D187E3,62861,,,520A3C5C,
,,3,2025-05-27 19:10:13,-79,81D187E3,62861,,,520A3C5C,
,,4,2025-05-27 19:10:13,-79,81D187E3,62861,,,520A3C5C,
,,5,2025-05-27 19:10:14,-65,2172633A,41165,,,520A3C5C,
,,2,2025-05-27 19:10:14,-65,2172633A,41165,,,520A3C5C,
,,4,2025-05-27 19:10:14,-65,2172633A,41165,,,520A3C5C,
,,3,2025-05-27 19:10:15,-68,D7510A57,38773,,,520A3C5C,
,,5,2025-05-27 19:10:15,-68,D7510A57,38773,,,520A3C5C,
,,2,2025-05-27 19:10:15,-68,D7510A57,38773,,,520A3C5C,
,,4,2025-05-27 19:10:15,-68,D7510A57,38773,,,520A3C5C,
,,2,2025-05-27 19:10:15,-51,23D9727E,3934,,,520A3C5C,
,,4,2025-05-27 19:10:15,-51,23D9727E,3934,,,520A3C5C,
,,3,2025-05-27 19:10:15,-51,23D9727E,3934,,,520A3C5C,
,,5,2025-05-27 19:10:15,-54,870614B1,11082,,,520A3C5C,
,,2,2025-05-27 19:10:17,-68,D7510A57,29904,,,520A3C5C,
,,5,2025-05-27 19:10:17,-80,E2A807D7,14186,,,520A3C5C,
,,2,2025-05-27 19:10:17,-80,E2A807D7,14186,,,520A3C5C,
,,2,2025-05-27 19:10:18,-75,59FE8D30,63077,,,520A3C5C,
,,5,2025-05-27 19:10:18,-75,59FE8D30,63077,,,520A3C5C,
,,3,2025-05-27 19:10:18,-78,B3DA9765,27953,,,520A3C5C,
,,2,2025-05-27 19:10:18,-78,B3DA9765,27953,,,520A3C5C,
,,4,2025-05-27 19:10:18,-78,B3DA9765,27953,,,520A3C5C,
