UsbPort,BluRadioId,RadioId,Time,TagRSSI,TagId,Sync,Product,Revision,NodeId,Payload
,,1,2025-05-27 20:25:40,-80,13323C65,16670,,,B995250B,
,,1,2025-05-27 20:25:43,-56,870614B1,60924,,,B995250B,
,,4,2025-05-27 20:25:43,-56,870614B1,60924,,,B995250B,
,,1,2025-05-27 20:25:49,-56,870614B1,33188,,,B995250B,
,,4,2025-05-27 20:25:51,-72,367E0F4A,21126,,,B995250B,
,,1,2025-05-27 20:25:51,-72,367E0F4A,21126,,,B995250B,
,,1,2025-05-27 20:25:31,-73,367E0F4A,61846,,,4D64B5B5,
,,4,2025-05-27 20:25:37,-58,870614B1,2999,,,4D64B5B5,
,,5,2025-05-27 20:25:29,-84,D7510A57,47914,,,7378B941,
,,1,2025-05-27 20:25:35,-72,13323C65,36089,,,9CC5DC79,
,,4,2025-05-27 20:25:35,-72,13323C65,36089,,,9CC5DC79,
,,4,2025-05-27 20:25:40,-70,D7510A57,13559,,,4D64B5B5,
,,1,2025-05-27 20:25:40,-70,D7510A57,13559,,,4D64B5B5,
,,5,2025-05-27 20:25:34,-80,81D187E3,6976,,,7378B941,
,,1,2025-05-27 20:25:37,-63,870614B1,2999,,,9CC5DC79,
,,1,2025-05-27 20:25:37,-82,81D187E3,27585,,,9CC5DC79,
,,4,2025-05-27 20:25:38,-77,13323C65,9766,,,9CC5DC79,
,,1,2025-05-27 20:25:38,-77,13323C65,9766,,,9CC5DC79,
,,1,2025-05-27 20:25:37,-84,3F9E3319,44402,,,7378B941,
,,5,2025-05-27 20:25:37,-84,3F9E3319,44402,,,7378B941,
,,5,2025-05-27 20:25:41,-79,D7510A57,56114,,,7378B941,
,,5,2025-05-27 20:25:45,-55,870614B1,53347,,,7378B941,
,,1,2025-05-27 20:25:49,-71,367E0F4A,52582,,,9CC5DC79,
,,4,2025-05-27 20:25:49,-71,367E0F4A,52582,,,9CC5DC79,
,,1,2025-05-27 20:25:50,-80,A648A0E7,34042,,,9CC5DC79,
,,4,2025-05-27 20:25:51,-73,367E0F4A,21126,,,9CC5DC79,
,,1,2025-05-27 20:25:51,-73,367E0F4A,21126,,,9CC5DC79,
,,1,2025-05-27 20:25:53,-79,2172633A,28899,,,9CC5DC79,
,,1,2025-05-27 20:25:55,-72,367E0F4A,6040,,,9CC5DC79,
,,1,2025-05-27 20:25:39,-75,E2A807D7,3229,,,D46BA6A2,
,,5,2025-05-27 20:25:39,-75,E2A807D7,3229,,,D46BA6A2,
,,5,2025-05-27 20:25:41,-70,13323C65,53662,,,D46BA6A2,
