proj,id,tagFreq,fcdFreq,g1,g2,g3,bi,dfreq,g1.sd,g2.sd,g3.sd,bi.sd,dfreq.sd,filename,codeset
SORA,100,166.38,166.376,41.5,83.01,24.41,12.6946001052856,-0.184400007128716,0.0,0.0,0.0,9.99999974737875e-05,0.0,uploaded file,Lotek4
SORA,101,166.38,166.376,41.5,92.77,63.48,12.6943998336792,-0.0913999974727631,0.0,0.0,0.0,9.99999974737875e-05,0.0,uploaded file,Lotek4
SORA,149,166.38,166.376,51.27,97.66,24.41,11.2957000732422,-0.0763000026345253,0.0,0.0,0.0,9.99999974737875e-05,0.0,uploaded file,Lotek4
SORA,150,166.38,166.376,51.27,102.54,131.84,11.295599937439,-0.495000004768372,0.0,0.0,0.0,9.99999974737875e-05,0.0,uploaded file,Lotek4
SORA,151,166.38,166.376,51.27,107.42,58.59,11.2958002090454,-0.0697999969124794,0.0,0.0,0.0,3.55269991451511e-15,0.0,uploaded file,Lotek4
SORA,152,166.38,166.376,51.27,112.3,107.42,11.2958002090454,-0.060699999332428,0.0,0.0,0.0,9.99999974737875e-05,0.0,uploaded file,Lotek4
SORA,153,166.38,166.376,51.27,122.07,63.48,11.2958002090454,-0.112199999392033,0.0,0.0,0.0,3.97210001977684e-15,0.0,uploaded file,Lotek4
SORA,5,166.38,166.376,21.97,39.06,19.53,5.29759979248047,-0.193000003695488,0.0,0.0,0.0,9.99999974737875e-05,0.0,uploaded file,Lotek4
SORA,6,166.38,166.376,21.97,43.95,87.89,5.2975001335144,-0.0649999976158142,0.0,0.0,0.0,7.0710998167911e-10,0.0,uploaded file,Lotek4
SORA,7,166.38,166.376,21.97,48.83,68.36,5.29759979248047,-0.123000003397465,0.0,0.0,0.0,9.99999974737875e-05,0.0,uploaded file,Lotek4
SORA,70,166.38,166.376,36.62,39.06,24.41,5.29759979248047,-0.217999994754791,0.0,0.0,0.0,9.99999974737875e-05,0.0,uploaded file,Lotek4
SORA,8,166.38,166.376,21.97,53.71,29.3,5.29759979248047,0.0366000011563301,0.0,0.0,0.0,9.99999974737875e-05,0.0,uploaded file,Lotek4
SORA,82,166.38,166.376,36.62,97.66,83.01,12.6944999694824,-0.094700001180172,0.0,0.0,0.0,8.36660019043478e-10,0.0,uploaded file,Lotek4
SORA,83,166.38,166.376,36.62,102.54,97.66,12.6947002410889,-0.126200005412102,0.0,0.0,0.0,9.99999974737875e-05,0.0,uploaded file,Lotek4
SORA,84,166.38,166.376,36.62,107.42,131.84,12.6946001052856,-0.510699987411499,0.0,0.0,0.0,9.99999974737875e-05,0.0,uploaded file,Lotek4
SORA,85,166.38,166.376,36.62,117.19,126.95,12.6943998336792,-0.117799997329712,0.0,0.0,0.0,9.99999974737875e-05,0.0,uploaded file,Lotek4
SORA,86,166.38,166.376,36.62,126.95,53.71,12.6946001052856,-0.145699992775917,0.0,0.0,0.0,9.99999974737875e-05,0.0,uploaded file,Lotek4
SORA,87,166.38,166.376,36.62,131.84,68.36,12.6944999694824,-0.0817999988794327,0.0,0.0,0.0,9.99999974737875e-05,0.0,uploaded file,Lotek4
SORA,88,166.38,166.376,41.5,19.53,39.06,12.6946001052856,0.174400001764298,0.0,0.0,0.0,9.99999974737875e-05,0.0,uploaded file,Lotek4
SORA,89,166.38,166.376,41.5,24.41,107.42,12.6946001052856,-0.112800002098084,0.0,0.0,0.0,9.99999974737875e-05,0.0,uploaded file,Lotek4
SORA,90,166.38,166.376,41.5,29.3,131.84,12.6946001052856,-0.0925000011920929,0.0,0.0,0.0,9.99999974737875e-05,0.0,uploaded file,Lotek4
SORA,91,166.38,166.376,41.5,34.18,58.59,12.6946001052856,-0.0870999991893768,0.0,0.0,0.0,9.99999974737875e-05,0.0,uploaded file,Lotek4
SORA,92,166.38,166.376,41.5,39.06,102.54,12.6946001052856,-0.129800006747246,0.0,0.0,0.0,9.99999974737875e-05,0.0,uploaded file,Lotek4
SORA,93,166.38,166.376,41.5,43.95,53.71,12.6948003768921,-0.145600005984306,0.0,0.0,0.0,9.99999974737875e-05,0.0,uploaded file,Lotek4
SORA,95,166.38,166.376,41.5,53.71,92.77,12.6944999694824,-0.105700001120567,0.0,0.0,0.0,5.40260017780248e-15,0.0,uploaded file,Lotek4
SORA,96,166.38,166.376,41.5,63.48,122.07,12.6944999694824,-0.16159999370575,0.0,0.0,0.0,4.99999985859034e-10,0.0,uploaded file,Lotek4
SORA,97,166.38,166.376,41.5,68.36,19.53,12.6943998336792,-0.134800001978874,0.0,0.0,0.0,9.99999974737875e-05,0.0,uploaded file,Lotek4
SORA,98,166.38,166.376,41.5,73.24,83.01,12.6943998336792,-0.165999993681908,0.0,0.0,0.0,9.99999974737875e-05,0.0,uploaded file,Lotek4
SORA,99,166.38,166.376,41.5,78.12,126.95,12.6946001052856,-0.0883999988436699,0.0,0.0,0.0,9.99999974737875e-05,0.0,uploaded file,Lotek4
