Time,RadioId,NodeId,NodeRSSI,Battery,Celsius,RecordedAt,Firmware,SolarVolts,SolarCurrent,CumulativeSolarCurrent,Latitude,Longitude,UpTime,AverageChargerCurrentMa,EnergyUsed,SdFree,Detections,Errors
2025-05-27 18:26:35,1,460ED9,-83,3.52,24,2025-05-27 17:49:20,1.17.4,0.01,1,5687457,37.9262,-75.461344,,,,,,
2025-05-27 18:27:26,5,520A3C5C,-97,3.7,25,2025-05-27 18:27:23,,,,,39.001197,-74.914367,2837,0,0,100,6103,6
2025-05-27 18:27:26,3,520A3C5C,-101,3.7,25,2025-05-27 18:27:23,,,,,39.001197,-74.914367,2837,0,0,100,6103,6
2025-05-27 18:29:36,1,45E6AA,-91,3.47,26,2017-01-21 23:38:36,1.17.4,0.01,1,240426,,,,,,,,
2025-05-27 18:32:25,5,520A3C5C,-97,3.7,25,2025-05-27 18:32:23,,,,,39.001197,-74.914367,3137,0,0,100,6080,6
2025-05-27 18:32:25,4,520A3C5C,-93,3.7,25,2025-05-27 18:32:23,,,,,39.001197,-74.914367,3137,0,0,100,6080,6
2025-05-27 18:32:25,2,520A3C5C,-97,3.7,25,2025-05-27 18:32:23,,,,,39.001197,-74.914367,3137,0,0,100,6080,6
2025-05-27 18:32:25,3,520A3C5C,-97,3.7,25,2025-05-27 18:32:23,,,,,39.001197,-74.914367,3137,0,0,100,6080,6
2025-05-27 18:33:24,4,9CC5DC79,-97,4.4,24,2025-05-27 18:33:22,,,,,39.001365,-74.914337,3553,0,0,100,3291,6
2025-05-27 18:37:24,3,520A3C5C,-95,3.7,25,2025-05-27 18:37:23,,,,,39.001197,-74.914367,3437,0,0,100,6051,6
2025-05-27 18:37:24,2,520A3C5C,-93,3.7,25,2025-05-27 18:37:23,,,,,39.001197,-74.914367,3437,0,0,100,6051,6
2025-05-27 18:37:24,5,520A3C5C,-96,3.7,25,2025-05-27 18:37:23,,,,,39.001197,-74.914367,3437,0,0,100,6051,6
2025-05-27 18:41:16,4,7D769A01,-105,4.4,25,2025-05-27 18:41:13,,,,,39.001213,-74.914611,3624,0,0,100,3879,6
2025-05-27 18:41:16,1,7D769A01,-48,4.4,25,2025-05-27 18:41:13,,,,,39.001213,-74.914611,3624,0,0,100,3879,6
2025-05-27 18:42:37,5,AA4358FB,-101,3.7,25,2025-05-27 18:42:36,,,,,39.000999,-74.914398,3399,0,0,100,6035,6
2025-05-27 18:43:51,1,45ED6E,-69,3.63,20,2025-05-27 18:31:25,1.17.4,0,1,395203,39.000876,-74.913848,,,,,,
2025-05-27 18:45:35,1,CB4A1EAE,-51,3.7,24,2025-05-27 18:45:32,,,,,39.00138,-74.914825,4195,0,0,100,5763,6
2025-05-27 18:47:38,5,AA4358FB,-101,3.6,26,2025-05-27 18:47:35,,,,,39.000995,-74.914382,3699,0,0,100,6074,8
2025-05-27 18:48:22,4,9CC5DC79,-100,4.4,23,2025-05-27 18:48:21,,,,,39.001369,-74.914451,4453,0,0,100,3339,6
2025-05-27 18:48:22,1,9CC5DC79,-49,4.4,23,2025-05-27 18:48:21,,,,,39.001369,-74.914451,4453,0,0,100,3339,6
2025-05-27 18:51:14,1,7D769A01,-47,4.4,25,2025-05-27 18:51:13,,,,,39.001182,-74.914604,4224,0,0,100,3950,6
2025-05-27 18:53:26,4,D46BA6A2,-99,3.7,25,2025-05-27 18:53:19,,,,,39.001026,-74.914611,4005,0,0,100,5844,6
2025-05-27 18:55:34,1,CB4A1EAE,-51,3.7,24,2025-05-27 18:55:32,,,,,39.00138,-74.914825,4795,0,0,100,5731,6
2025-05-27 18:56:16,1,7D769A01,-48,4.4,25,2025-05-27 18:56:13,,,,,39.001182,-74.914604,4524,0,0,100,4043,6
2025-05-27 19:00:00,1,45E6AA,-95,3.47,26,2017-01-22 00:09:01,1.17.4,0.01,1,240606,,,,,,,,
2025-05-27 19:02:25,3,520A3C5C,-97,3.7,25,2025-05-27 19:02:22,,,,,39.001163,-74.914367,4937,0,0,100,6333,6
2025-05-27 19:02:25,2,520A3C5C,-95,3.7,25,2025-05-27 19:02:22,,,,,39.001163,-74.914367,4937,0,0,100,6333,6
2025-05-27 19:02:25,4,520A3C5C,-92,3.7,25,2025-05-27 19:02:22,,,,,39.001163,-74.914367,4937,0,0,100,6333,6
2025-05-27 19:07:23,2,520A3C5C,-96,3.7,24,2025-05-27 19:07:22,,,,,39.001163,-74.914367,5237,0,0,100,6390,6
2025-05-27 19:07:23,3,520A3C5C,-98,3.7,24,2025-05-27 19:07:22,,,,,39.001163,-74.914367,5237,0,0,100,6390,6
2025-05-27 19:08:22,4,9CC5DC79,-98,4.4,23,2025-05-27 19:08:21,,,,,39.001369,-74.914451,5653,0,0,100,3444,6
2025-05-27 19:08:55,1,46283C,-79,3.53,24,2017-01-17 21:48:11,1.17.4,0.01,1,163772,,,,,,,,
2025-05-27 19:13:23,4,9CC5DC79,-100,4.4,23,2025-05-27 19:13:21,,,,,39.001369,-74.914451,5953,0,0,100,3444,6
2025-05-27 19:13:23,5,9CC5DC79,-101,4.4,23,2025-05-27 19:13:21,,,,,39.001369,-74.914451,5953,0,0,100,3444,6
2025-05-27 19:13:59,1,46283C,-78,3.53,24,2017-01-17 21:53:16,1.17.4,0.01,1,163802,,,,,,,,
2025-05-27 19:15:16,1,461425,-84,3.49,24,2025-05-27 19:12:21,1.17.4,0.01,1,4978202,37.908672,-75.354712,,,,,,
2025-05-27 19:16:16,1,7D769A01,-43,4.4,24,2025-05-27 19:16:13,,,,,39.001182,-74.914604,5724,0,0,100,3990,6
2025-05-27 19:17:23,5,3B55DF,-105,3.54,22,2025-05-27 19:17:39,1.17.4,0.19,1,5480566,39.000924,-74.913832,,,,,,
2025-05-27 19:17:23,1,3B55DF,-55,3.54,22,2025-05-27 19:17:39,1.17.4,0.19,1,5480566,39.000924,-74.913832,,,,,,
2025-05-27 19:17:23,4,3B55DF,-103,3.54,22,2025-05-27 19:17:39,1.17.4,0.19,1,5480566,39.000924,-74.913832,,,,,,
2025-05-27 19:17:26,4,520A3C5C,-92,3.7,24,2025-05-27 19:17:22,,,,,39.001163,-74.914367,5837,0,0,100,6027,6
2025-05-27 19:17:26,2,520A3C5C,-96,3.7,24,2025-05-27 19:17:22,,,,,39.001163,-74.914367,5837,0,0,100,6027,6
2025-05-27 19:17:26,5,520A3C5C,-99,3.7,24,2025-05-27 19:17:22,,,,,39.001163,-74.914367,5837,0,0,100,6027,6
2025-05-27 19:17:26,3,520A3C5C,-96,3.7,24,2025-05-27 19:17:22,,,,,39.001163,-74.914367,5837,0,0,100,6027,6
2025-05-27 19:18:24,4,9CC5DC79,-98,4.4,23,2025-05-27 19:18:21,,,,,39.001369,-74.914451,6253,0,0,100,3276,6
2025-05-27 19:18:24,5,9CC5DC79,-101,4.4,23,2025-05-27 19:18:21,,,,,39.001369,-74.914451,6253,0,0,100,3276,6
2025-05-27 19:22:25,3,520A3C5C,-95,3.6,23,2025-05-27 19:22:22,,,,,39.001163,-74.914367,6137,0,0,100,6027,6
2025-05-27 19:22:25,2,520A3C5C,-93,3.6,23,2025-05-27 19:22:22,,,,,39.001163,-74.914367,6137,0,0,100,6027,6
2025-05-27 19:22:25,5,520A3C5C,-97,3.6,23,2025-05-27 19:22:22,,,,,39.001163,-74.914367,6137,0,0,100,6027,6
2025-05-27 19:23:00,1,33899C,-73,3.3,21,2025-05-27 19:29:59,1.12.4,1.85,0,1510961,39.000988,-74.913712,,,,,,
2025-05-27 19:23:22,4,9CC5DC79,-97,4.4,22,2025-05-27 19:23:21,,,,,39.001369,-74.914451,6553,0,0,100,3452,6
2025-05-27 19:23:22,5,9CC5DC79,-101,4.4,22,2025-05-27 19:23:21,,,,,39.001369,-74.914451,6553,0,0,100,3452,6
