node_id,lat,sd_lat,lon,sd_lon
326039,38.93482774,1.755854114e-05,-74.94470442,1.171165830e-05
326543,38.93574733,3.626725279e-05,-74.94789203,3.261956738e-05
326572,38.93653905,1.756821028e-05,-74.94452704,1.538348756e-05
32660E,38.93913200,0.000000000e+00,-74.94861600,0.000000000e+00
326710,38.93664800,0.000000000e+00,-74.94682400,0.000000000e+00
3274F4,38.93748400,0.000000000e+00,-74.94556800,0.000000000e+00
327749,38.93670918,2.034817630e-05,-74.94568155,1.581930509e-05
3282EC,38.93398299,1.849683905e-05,-74.94685976,1.549748679e-05
32841A,38.93486477,2.215685000e-05,-74.94683095,1.782348067e-05
328CCF,38.93390814,2.343481285e-05,-74.94454182,1.919817804e-05
328D0C,38.93758973,2.141225324e-05,-74.94450818,1.256061284e-05
328FAF,38.93848893,1.973105889e-05,-74.94680133,1.615217586e-05
32909D,38.93398800,0.000000000e+00,-74.94568000,0.000000000e+00
339BB0,38.93846689,2.457388064e-05,-74.94804914,2.042956440e-05
339CAE,38.93482147,3.459700599e-05,-74.94799635,2.897379178e-05
33D76B,38.93393548,3.012686176e-05,-74.94797986,3.607906890e-05
33DA3C,38.93574425,3.343438587e-05,-74.94683729,5.243855385e-05
3648E1,38.93481985,1.908263803e-05,-74.94571129,2.076044012e-05
3765DD,38.93576925,2.176539489e-05,-74.94447657,2.541118667e-05
377E5F,38.93733932,2.623625066e-05,-74.94784795,2.445098145e-05
37824B,38.93575403,2.246189163e-05,-74.94570497,2.461426773e-05
379B89,38.93657548,2.534408223e-05,-74.94797732,3.062175369e-05
3B3B89,38.93763681,2.520195197e-05,-74.94689129,2.974924311e-05
